i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,25.904847,67.145364,0.000000
afluente_Embalse,Embalse,2,31.053530,80.490749,0.000000
afluente_Embalse,Embalse,3,17.183521,44.539687,0.000000
afluente_Embalse,Embalse,4,13.215019,34.253329,0.000000
afluente_Embalse,Embalse,5,32.365975,83.892608,0.000000
afluente_Embalse,Embalse,6,49.983149,129.556323,0.000000
afluente_Embalse,Embalse,7,36.474092,94.540847,0.000000
afluente_Embalse,Embalse,8,76.812005,199.096717,0.000000
afluente_Embalse,Embalse,9,79.003779,204.777795,0.000000
afluente_Embalse,Embalse,10,133.669335,346.470917,0.000000
afluente_Embalse,Embalse,11,122.797474,318.291052,0.000000
afluente_Embalse,Embalse,12,53.236237,137.988326,0.000000
afluente_Abanico,control_Abanico,1,3.369840,8.734625,0.000000
afluente_Abanico,control_Abanico,2,3.161261,8.193988,0.000000
afluente_Abanico,control_Abanico,3,1.827791,4.737634,0.000000
afluente_Abanico,control_Abanico,4,1.761906,4.566861,0.000000
afluente_Abanico,control_Abanico,5,2.771645,7.184104,0.000000
afluente_Abanico,control_Abanico,6,3.105885,8.050453,0.000000
afluente_Abanico,control_Abanico,7,2.816289,7.299822,0.000000
afluente_Abanico,control_Abanico,8,3.314077,8.590087,0.000000
afluente_Abanico,control_Abanico,9,5.201735,13.482896,0.000000
afluente_Abanico,control_Abanico,10,5.828372,15.107140,0.000000
afluente_Abanico,control_Abanico,11,5.625735,14.581905,0.000000
afluente_Abanico,control_Abanico,12,4.419774,11.456054,0.000000
afluente_Antuco,control_Antuco,1,15.125300,39.204778,0.000000
afluente_Antuco,control_Antuco,2,18.564400,48.118925,0.000000
afluente_Antuco,control_Antuco,3,11.343560,29.402508,0.000000
afluente_Antuco,control_Antuco,4,5.134800,13.309402,0.000000
afluente_Antuco,control_Antuco,5,19.347680,50.149187,0.000000
afluente_Antuco,control_Antuco,6,55.720844,144.428427,0.000000
afluente_Antuco,control_Antuco,7,34.212140,88.677867,0.000000
afluente_Antuco,control_Antuco,8,75.410150,195.463109,0.000000
afluente_Antuco,control_Antuco,9,104.990716,272.135935,0.000000
afluente_Antuco,control_Antuco,10,77.967561,202.091918,0.000000
afluente_Antuco,control_Antuco,11,56.029800,145.229242,0.000000
afluente_Antuco,control_Antuco,12,27.806000,72.073152,0.000000
afluente_Canecol,control_Canecol,1,2.737500,7.095600,0.000000
afluente_Canecol,control_Canecol,2,2.553274,6.618086,0.000000
afluente_Canecol,control_Canecol,3,2.252110,5.837470,0.000000
afluente_Canecol,control_Canecol,4,2.380000,6.168960,0.000000
afluente_Canecol,control_Canecol,5,3.870000,10.031040,0.000000
afluente_Canecol,control_Canecol,6,26.600000,68.947200,0.000000
afluente_Canecol,control_Canecol,7,12.300000,31.881600,0.000000
afluente_Canecol,control_Canecol,8,25.700000,66.614400,0.000000
afluente_Canecol,control_Canecol,9,36.400000,94.348800,0.000000
afluente_Canecol,control_Canecol,10,13.900000,36.028800,0.000000
afluente_Canecol,control_Canecol,11,3.760000,9.745920,0.000000
afluente_Canecol,control_Canecol,12,2.640000,6.842880,0.000000
afluente_Tucapel,control_Tucapel,1,25.616128,66.397005,0.000000
afluente_Tucapel,control_Tucapel,2,38.912127,100.860232,0.000000
afluente_Tucapel,control_Tucapel,3,25.662023,66.515964,0.000000
afluente_Tucapel,control_Tucapel,4,11.605729,30.082049,0.000000
afluente_Tucapel,control_Tucapel,5,23.927588,62.020309,0.000000
afluente_Tucapel,control_Tucapel,6,45.855880,118.858441,0.000000
afluente_Tucapel,control_Tucapel,7,47.147262,122.205702,0.000000
afluente_Tucapel,control_Tucapel,8,66.551723,172.502067,0.000000
afluente_Tucapel,control_Tucapel,9,113.301073,293.676380,0.000000
afluente_Tucapel,control_Tucapel,10,36.615311,94.906887,0.000000
afluente_Tucapel,control_Tucapel,11,31.651853,82.041603,0.000000
afluente_Tucapel,control_Tucapel,12,23.243616,60.247452,0.000000
afluente_Laja_I,control_Laja_I,1,8.740000,22.654080,0.000000
afluente_Laja_I,control_Laja_I,2,13.700000,35.510400,0.000000
afluente_Laja_I,control_Laja_I,3,7.860000,20.373120,0.000000
afluente_Laja_I,control_Laja_I,4,5.910000,15.318720,0.000000
afluente_Laja_I,control_Laja_I,5,10.880000,28.200960,0.000000
afluente_Laja_I,control_Laja_I,6,32.560000,84.395520,0.000000
afluente_Laja_I,control_Laja_I,7,31.830000,82.503360,0.000000
afluente_Laja_I,control_Laja_I,8,17.350000,44.971200,0.000000
afluente_Laja_I,control_Laja_I,9,20.630000,53.472960,0.000000
afluente_Laja_I,control_Laja_I,10,19.030000,49.325760,0.000000
afluente_Laja_I,control_Laja_I,11,18.620000,48.263040,0.000000
afluente_Laja_I,control_Laja_I,12,15.740000,40.798080,0.000000
Embalse,ElToro,1,0.000000,0.000000,0.000000
Embalse,ElToro,2,0.000000,0.000000,0.000000
Embalse,ElToro,3,0.000000,0.000000,0.000000
Embalse,ElToro,4,0.000000,0.000000,0.000000
Embalse,ElToro,5,0.000000,0.000000,0.000000
Embalse,ElToro,6,21.276664,55.149112,102.127985
Embalse,ElToro,7,0.000000,0.000000,0.000000
Embalse,ElToro,8,0.000000,0.000000,0.000000
Embalse,ElToro,9,0.000000,0.000000,0.000000
Embalse,ElToro,10,0.000000,0.000000,0.000000
Embalse,ElToro,11,5.729509,14.850888,27.501644
Embalse,ElToro,12,0.000000,0.000000,0.000000
control_Abanico,Abanico,1,27.081444,70.195104,32.497733
control_Abanico,Abanico,2,26.872865,69.654467,32.247438
control_Abanico,Abanico,3,25.539395,66.198113,30.647274
control_Abanico,Abanico,4,25.473511,66.027339,30.568213
control_Abanico,Abanico,5,26.483250,68.644583,31.779900
control_Abanico,Abanico,6,26.817489,69.510932,32.180987
control_Abanico,Abanico,7,26.527894,68.760301,31.833472
control_Abanico,Abanico,8,27.025681,70.050566,32.430817
control_Abanico,Abanico,9,28.913339,74.943375,34.696007
control_Abanico,Abanico,10,30.874308,80.026207,37.049170
control_Abanico,Abanico,11,35.734784,92.624561,42.881741
control_Abanico,Abanico,12,34.528823,89.498710,41.434588
control_Antuco,Antuco,1,42.206744,109.399882,67.530791
control_Antuco,Antuco,2,45.437265,117.773392,72.699625
control_Antuco,Antuco,3,36.882955,95.600620,59.012728
control_Antuco,Antuco,4,30.608311,79.336741,48.973297
control_Antuco,Antuco,5,45.830930,118.793770,73.329487
control_Antuco,Antuco,6,103.814997,269.088471,166.103994
