i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,16.618588,43.075379,0.000000
afluente_Embalse,Embalse,2,15.587594,40.403044,0.000000
afluente_Embalse,Embalse,3,12.905310,33.450562,0.000000
afluente_Embalse,Embalse,4,17.110304,44.349908,0.000000
afluente_Embalse,Embalse,5,8.168710,21.173295,0.000000
afluente_Embalse,Embalse,6,17.564455,45.527067,0.000000
afluente_Embalse,Embalse,7,28.471801,73.798908,0.000000
afluente_Embalse,Embalse,8,53.986986,139.934268,0.000000
afluente_Embalse,Embalse,9,50.596529,131.146202,0.000000
afluente_Embalse,Embalse,10,56.246116,145.789933,0.000000
afluente_Embalse,Embalse,11,32.099380,83.201593,0.000000
afluente_Embalse,Embalse,12,23.307913,60.414111,0.000000
afluente_Abanico,control_Abanico,1,1.971486,5.110093,0.000000
afluente_Abanico,control_Abanico,2,0.831449,2.155115,0.000000
afluente_Abanico,control_Abanico,3,0.105034,0.272248,0.000000
afluente_Abanico,control_Abanico,4,1.695012,4.393471,0.000000
afluente_Abanico,control_Abanico,5,1.745358,4.523969,0.000000
afluente_Abanico,control_Abanico,6,1.576242,4.085618,0.000000
afluente_Abanico,control_Abanico,7,2.035292,5.275478,0.000000
afluente_Abanico,control_Abanico,8,3.716360,9.632804,0.000000
afluente_Abanico,control_Abanico,9,3.074333,7.968672,0.000000
afluente_Abanico,control_Abanico,10,3.334156,8.642131,0.000000
afluente_Abanico,control_Abanico,11,3.464263,8.979370,0.000000
afluente_Abanico,control_Abanico,12,2.687217,6.965267,0.000000
afluente_Antuco,control_Antuco,1,31.392968,81.370572,0.000000
afluente_Antuco,control_Antuco,2,29.795157,77.229048,0.000000
afluente_Antuco,control_Antuco,3,26.273340,68.100498,0.000000
afluente_Antuco,control_Antuco,4,36.105846,93.586353,0.000000
afluente_Antuco,control_Antuco,5,33.728278,87.423697,0.000000
afluente_Antuco,control_Antuco,6,36.185467,93.792730,0.000000
afluente_Antuco,control_Antuco,7,37.447826,97.064765,0.000000
afluente_Antuco,control_Antuco,8,39.878525,103.365138,0.000000
afluente_Antuco,control_Antuco,9,40.583348,105.192038,0.000000
afluente_Antuco,control_Antuco,10,42.538511,110.259821,0.000000
afluente_Antuco,control_Antuco,11,33.953546,88.007591,0.000000
afluente_Antuco,control_Antuco,12,39.442926,102.236065,0.000000
afluente_Canecol,control_Canecol,1,1.904839,4.937342,0.000000
afluente_Canecol,control_Canecol,2,1.531786,3.970389,0.000000
afluente_Canecol,control_Canecol,3,1.477742,3.830307,0.000000
afluente_Canecol,control_Canecol,4,2.102667,5.450112,0.000000
afluente_Canecol,control_Canecol,5,2.800645,7.259272,0.000000
afluente_Canecol,control_Canecol,6,2.766000,7.169472,0.000000
afluente_Canecol,control_Canecol,7,7.554839,19.582142,0.000000
afluente_Canecol,control_Canecol,8,12.663548,32.823917,0.000000
afluente_Canecol,control_Canecol,9,9.497000,24.616224,0.000000
afluente_Canecol,control_Canecol,10,9.237419,23.943391,0.000000
afluente_Canecol,control_Canecol,11,5.077000,13.159584,0.000000
afluente_Canecol,control_Canecol,12,3.756452,9.736723,0.000000
afluente_Tucapel,control_Tucapel,1,7.687754,19.926658,0.000000
afluente_Tucapel,control_Tucapel,2,6.697584,17.360137,0.000000
afluente_Tucapel,control_Tucapel,3,5.659244,14.668762,0.000000
afluente_Tucapel,control_Tucapel,4,5.317572,13.783147,0.000000
afluente_Tucapel,control_Tucapel,5,3.250959,8.426485,0.000000
afluente_Tucapel,control_Tucapel,6,8.194450,21.240013,0.000000
afluente_Tucapel,control_Tucapel,7,33.547212,86.954374,0.000000
afluente_Tucapel,control_Tucapel,8,81.655257,211.650426,0.000000
afluente_Tucapel,control_Tucapel,9,35.420850,91.810842,0.000000
afluente_Tucapel,control_Tucapel,10,30.693121,79.556569,0.000000
afluente_Tucapel,control_Tucapel,11,15.163968,39.305004,0.000000
afluente_Tucapel,control_Tucapel,12,1.195630,3.099072,0.000000
afluente_Laja_I,control_Laja_I,1,1.775473,4.602026,0.000000
afluente_Laja_I,control_Laja_I,2,3.232143,8.377714,0.000000
afluente_Laja_I,control_Laja_I,3,1.920806,4.978729,0.000000
afluente_Laja_I,control_Laja_I,4,39.253002,101.743782,0.000000
afluente_Laja_I,control_Laja_I,5,34.349635,89.034255,0.000000
afluente_Laja_I,control_Laja_I,6,1.396429,3.619543,0.000000
afluente_Laja_I,control_Laja_I,7,4.821875,12.498300,0.000000
afluente_Laja_I,control_Laja_I,8,1.000000,2.592000,0.000000
afluente_Laja_I,control_Laja_I,9,8.486355,21.996631,0.000000
afluente_Laja_I,control_Laja_I,10,3.260970,8.452434,0.000000
afluente_Laja_I,control_Laja_I,11,5.749619,14.903012,0.000000
afluente_Laja_I,control_Laja_I,12,4.939664,12.803609,0.000000
Embalse,ElToro,1,0.000000,0.000000,0.000000
Embalse,ElToro,2,0.311827,0.808255,1.496768
Embalse,ElToro,3,0.000000,0.000000,0.000000
Embalse,ElToro,4,0.000000,0.000000,0.000000
Embalse,ElToro,5,0.000000,0.000000,0.000000
Embalse,ElToro,6,0.000000,0.000000,0.000000
Embalse,ElToro,7,0.000000,0.000000,0.000000
Embalse,ElToro,8,0.000000,0.000000,0.000000
Embalse,ElToro,9,20.214062,52.394850,97.027499
Embalse,ElToro,10,0.000000,0.000000,0.000000
Embalse,ElToro,11,0.000000,0.000000,0.000000
Embalse,ElToro,12,6.480284,16.796896,31.105362
control_Abanico,Abanico,1,25.683091,66.570571,30.819709
control_Abanico,Abanico,2,24.543053,63.615594,29.451664
control_Abanico,Abanico,3,22.480498,58.269451,26.976598
control_Abanico,Abanico,4,24.070476,62.390674,28.884571
control_Abanico,Abanico,5,24.120823,62.521172,28.944987
control_Abanico,Abanico,6,23.951706,62.082822,28.742047
control_Abanico,Abanico,7,24.410757,63.272681,29.292908
control_Abanico,Abanico,8,26.091824,67.630008,31.310189
control_Abanico,Abanico,9,26.785938,69.429150,32.143125
control_Abanico,Abanico,10,27.045760,70.102610,32.454912
control_Abanico,Abanico,11,27.175868,70.439849,32.611041
control_Abanico,Abanico,12,26.398822,68.425745,31.678586
control_Antuco,Antuco,1,57.076059,147.941144,91.321694
control_Antuco,Antuco,2,54.650037,141.652897,87.440060
control_Antuco,Antuco,3,48.753838,126.369949,78.006141
control_Antuco,Antuco,4,60.176322,155.977027,96.282116
control_Antuco,Antuco,5,57.849101,149.944869,92.558561
control_Antuco,Antuco,6,60.137173,155.875551,96.219476
control_Antuco,Antuco,7,61.858583,160.337446,98.973732
control_Antuco,Antuco,8,65.970349,170.995146,105.552559
control_Antuco,Antuco,9,87.583348,227.016038,140.133357
control_Antuco,Antuco,10,69.584271,180.362431,111.334834
control_Antuco,Antuco,11,61.129414,158.447440,97.807062
control_Antuco,Antuco,12,72.322032,187.458706,115.715251
control_Rucue,Rucue,1,57.076059,147.941144,73.057355
control_Rucue,Rucue,2,54.650037,141.652897,69.952048
control_Rucue,Rucue,3,48.753838,126.369949,62.404913
control_Rucue,Rucue,4,60.176322,155.977027,77.025692
control_Rucue,Rucue,5,57.849101,149.944869,74.046849
control_Rucue,Rucue,6,60.137173,155.875551,76.975581
control_Rucue,Rucue,7,61.858583,160.337446,79.178986
control_Rucue,Rucue,8,65.970349,170.995146,84.442047
control_Rucue,Rucue,9,87.583348,227.016038,112.106686
control_Rucue,Rucue,10,69.584271,180.362431,89.067867
control_Rucue,Rucue,11,61.129414,158.447440,78.245649
control_Rucue,Rucue,12,72.322032,187.458706,92.572201
control_Quilleco,Quilleco,1,57.076059,147.941144,31.391832
control_Quilleco,Quilleco,2,54.650037,141.652897,30.057521
control_Quilleco,Quilleco,3,48.753838,126.369949,26.814611
control_Quilleco,Quilleco,4,60.176322,155.977027,33.096977
control_Quilleco,Quilleco,5,57.849101,149.944869,31.817005
control_Quilleco,Quilleco,6,60.137173,155.875551,33.075445
control_Quilleco,Quilleco,7,61.858583,160.337446,34.022220
control_Quilleco,Quilleco,8,65.970349,170.995146,36.283692
control_Quilleco,Quilleco,9,87.583348,227.016038,48.170841
control_Quilleco,Quilleco,10,69.584271,180.362431,38.271349
control_Quilleco,Quilleco,11,61.129414,158.447440,33.621177
control_Quilleco,Quilleco,12,72.322032,187.458706,39.777117
control_CanalLaja,CanalLaja,1,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,2,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,3,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,4,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,5,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,6,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,7,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,8,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,9,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,10,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,11,20.000000,51.840000,0.000000
control_CanalLaja,CanalLaja,12,20.000000,51.840000,0.000000
control_ElDiuto,ElDiuto,1,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,2,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,3,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,4,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,5,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,6,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,7,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,8,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,9,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,10,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,11,20.000000,51.840000,3.250000
control_ElDiuto,ElDiuto,12,20.000000,51.840000,3.250000
control_Laja_I,Laja_I,1,48.444124,125.567169,6.636845
control_Laja_I,Laja_I,2,46.111550,119.521137,6.317282
control_Laja_I,Laja_I,3,37.811631,98.007747,5.180193
control_Laja_I,Laja_I,4,86.849563,225.114068,11.898390
control_Laja_I,Laja_I,5,78.250340,202.824881,10.720297
control_Laja_I,Laja_I,6,52.494051,136.064579,7.191685
control_Laja_I,Laja_I,7,87.782509,227.532262,12.026204
control_Laja_I,Laja_I,8,141.289155,366.221489,19.356614
control_Laja_I,Laja_I,9,120.987552,313.599735,16.575295
control_Laja_I,Laja_I,10,92.775781,240.474824,12.710282
control_Laja_I,Laja_I,11,67.120000,173.975040,9.195440
control_Laja_I,Laja_I,12,62.213777,161.258109,8.523287
AltoPolc,Embalse,1,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,2,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,3,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,4,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,5,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,6,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,7,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,8,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,9,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,10,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,11,-0.000000,-0.000000,0.000000
AltoPolc,Embalse,12,-0.000000,-0.000000,0.000000
Embalse,control_FiltracionesLaja,1,23.711604,61.460479,0.000000
Embalse,control_FiltracionesLaja,2,23.711604,61.460479,0.000000
Embalse,control_FiltracionesLaja,3,22.375464,57.997203,0.000000
Embalse,control_FiltracionesLaja,4,22.375464,57.997203,0.000000
Embalse,control_FiltracionesLaja,5,22.375464,57.997203,0.000000
Embalse,control_FiltracionesLaja,6,22.375464,57.997203,0.000000
Embalse,control_FiltracionesLaja,7,22.375464,57.997203,0.000000
Embalse,control_FiltracionesLaja,8,22.375464,57.997203,0.000000
Embalse,control_FiltracionesLaja,9,23.711604,61.460479,0.000000
Embalse,control_FiltracionesLaja,10,23.711604,61.460479,0.000000
Embalse,control_FiltracionesLaja,11,23.711604,61.460479,0.000000
Embalse,control_FiltracionesLaja,12,23.711604,61.460479,0.000000
control_FiltracionesLaja,FiltracionesLaja,1,23.711604,61.460479,0.000000
control_FiltracionesLaja,FiltracionesLaja,2,23.711604,61.460479,0.000000
control_FiltracionesLaja,FiltracionesLaja,3,22.375464,57.997203,0.000000
control_FiltracionesLaja,FiltracionesLaja,4,22.375464,57.997203,0.000000
control_FiltracionesLaja,FiltracionesLaja,5,22.375464,57.997203,0.000000
control_FiltracionesLaja,FiltracionesLaja,6,22.375464,57.997203,0.000000
control_FiltracionesLaja,FiltracionesLaja,7,22.375464,57.997203,0.000000
control_FiltracionesLaja,FiltracionesLaja,8,22.375464,57.997203,0.000000
